"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"234","RPW",162,0.1,0.3,0.2,0.5,-0.00125080027478637,-0.00175289420480584,7
"235","RPW",162,0.1,0.3,0.3,0,-0.00122405349977131,-0.0015112726348892,7
"236","RPW",162,0.1,0.3,0.3,0.1,-0.000824428789737625,-0.00135501744098976,7
"237","RPW",162,0.1,0.3,0.3,0.2,-0.000700345457776821,-0.00218938661841195,7
"238","RPW",162,0.1,0.3,0.3,0.3,-0.00127016612596903,-0.00207089669335286,7
"239","RPW",162,0.1,0.3,0.3,0.4,-0.000935118969027524,-0.00207674728436152,7
"240","RPW",162,0.1,0.3,0.3,0.5,-0.000791469398413736,-0.00206207887236975,7
"241","RPW",162,0.1,0.3,0.4,0,-0.000196968930709251,-0.00168060020732447,7
"242","RPW",162,0.1,0.3,0.4,0.1,-0.000881761417627705,-0.00166704967306303,7
"243","RPW",162,0.1,0.3,0.4,0.2,-0.000706026226238401,-0.00221802365760859,7
"244","RPW",162,0.1,0.3,0.4,0.3,-0.000447626767443199,-0.00233059958071952,7
"245","RPW",162,0.1,0.3,0.4,0.4,-0.00190493860332204,-0.00197645647318739,7
"246","RPW",162,0.1,0.3,0.4,0.5,-0.00176332709449252,-0.00224773593397248,7
"247","RPW",162,0.1,0.3,0.5,0,-0.00145272474628258,-0.00173319773632274,7
"248","RPW",162,0.1,0.3,0.5,0.1,-0.000928796771110185,-0.00191350070319712,7
"249","RPW",162,0.1,0.3,0.5,0.2,-0.000564201254442731,-0.00271666888602912,7
"250","RPW",162,0.1,0.3,0.5,0.3,-0.00137791345297114,-0.00288092419069336,7
"251","RPW",162,0.1,0.3,0.5,0.4,-0.000466939861580681,-0.00293517969889395,7
"252","RPW",162,0.1,0.3,0.5,0.5,-0.00149488027684065,-0.00312730313293885,7
"253","RPW",82,0.1,0.4,0,0,-0.00269547089356255,-0.00294469142138026,8
"254","RPW",82,0.1,0.4,0,0.1,-0.00243180556749534,-0.00499682625626613,8
